id,name,birth_canton,lat,long,wikidata_uri
341,Darmstadt,Etranger,,,
342,Eschweiler,Etranger,,,
343,"Cham (ZG)",ZG,,,
344,"Fällanden",ZH,,,
345,Kilchberg,ZH,,,
346,Kleinandelfingen,ZH,,,
347,Richterswil,ZH,,,
348,Morges,VD,,,
349,"Granges-près-Marnand",VD,,,
350,"Le Lieu",VD,,,
351,Begnins,VD,,,
352,Avenches,VD,,,
353,Arzier,VD,,,
354,Crissier,VD,,,
355,Vladimir,Etranger,,,
356,Chexbres,VD,,,
357,Jongny,VD,,,
358,"Bière",VD,,,
359,Lucens,VD,,,
360,"Amillis, Seine-et-Marne",Etranger,,,
361,Cressier,NE,,,
362,Moudon,VD,,,
363,"Château-d'Oex",VD,,,
364,"Buenos Aires",Etranger,,,
365,Grasswil,BE,,,
366,"Ennetbühl SG",SG,,,
367,Krompach,Etranger,,,
368,Zoug,ZG,,,
369,Breslau,Etranger,,,
370,Merksem-Antwerpen,Etranger,,,
371,"Kirberg (Nassau)",Etranger,,,
372,"Poggio a Caiano",Etranger,,,
373,Providence,Etranger,,,
374,Teufen,AR,,,
375,Saint-Yrieix-la-Perche,Etranger,,,
376,Muri,AG,,,
377,Couvet,NE,,,
378,"Rio Novo (Brésil)",Etranger,,,
379,Arnsberg,Etranger,,,
380,Lauchhammer/Senftenberg,Etranger,,,
381,Lucerne,Lucerne,,,
382,Viganello,TI,,,
383,Croglio,TI,,,
384,Heemstede,Etranger,,,
385,Istanbul,Etranger,,,
386,Sullens,VD,,,
387,Rorbas,ZH,,,
388,"Männedorf",ZH,,,
389,Beggingen,SH,,,
390,"Berg am Irchel",ZH,,,
391,Regensberg,ZH,,,
392,Glattfelden,ZH,,,
393,Wallikon,ZH,,,
394,"Lienheim (Bade)",Etranger,,,
395,"Mümliswil-Ramiswil",SO,,,
396,"Gamshurst (Bade)",Etranger,,,
397,Dielsdorf,ZH,,,
398,Turbenthal,ZH,,,
399,Rapperswil,SG,,,
400,Bauma,ZH,,,
401,Stadel,ZH,,,
402,"Rümlang",ZH,,,
403,"Füssen",Etranger,,,
404,"Seegräben",ZH,,,
405,Burgdorf,BE,,,
406,Glaris,GL,,,
407,Bonneville,Etranger,,,
408,Kappel,SO,,,
409,Andelfingen,ZH,,,
410,Reute,AR,,,
411,Auvernier,NE,,,
412,"Champéry",VS,,,
413,Mettmenstetten,ZH,,,
414,Corbeyrier,VD,,,
415,Meyrin,GE,,,
416,Egelshofen,TG,,,
417,Oberuzwil,SG,,,
418,"Münchenbuchsee",BE,,,
419,Volken,ZH,,,
420,Maschwanden,ZH,,,
421,Biglen,BE,,,
422,"Germersheim (Palatinat bavarois, auj. Rhénanie Palatinat)",Etranger,,,
423,Feuerthalen,ZH,,,
424,Affeltrangen,TG,,,
425,Uhwiesen,ZH,,,
426,Flaach,ZH,,,
427,Hottingen-Zurich,ZH,,,
428,Hirzel,ZH,,,
429,Waltalingen,ZH,,,
430,Hersfeld,Etranger,,,
431,Wasterkingen,ZH,,,
432,Braunwald,GL,,,
433,Osterfingen,SH,,,
434,Jussy,GE,,,
435,"Lanzenmoos (comm. Fischenthal)",ZH,,,
436,Vordemwald,AG,,,
437,Langnau,BE,,,
438,Wattenwil,ZH,,,
439,Porrentruy,"JU (BE historique)",,,
440,Altnau,TG,,,
441,Arlesheim,BL,,,
442,"Copponex (Haute-Savoie)",Etranger,,,
443,Troinex,GE,,,
444,Villars-Mendraz,VD,,,
445,"Bülach",ZH,,,
446,"Würzburg",Etranger,,,
447,Unterstrass,ZH,,,
448,"Waldenburg (Saxe)",Etranger,,,
449,"Schaffhausen? Siblingen?",SH,,,
450,Saint-Julien-en-Genevois,Etranger,,,
451,Chicago,Etranger,,,
452,"Oberhofen bei Kreuzlingen",TG,,,
453,"Gross-Strehlitz (Silésie)",Etranger,,,
454,"Cannstatt (Wurtemberg)",Etranger,,,
455,Frick,AG,,,
456,Altdorf,UR,,,
457,Anet,BE,,,
458,"Feldbrunnen-Sankt Niklaus",SO,,,
459,Herrliberg,ZH,,,
460,Kyburg,ZH,,,
461,Stampa,GR,,,
462,Flawil,SG,,,
463,Wolfwil,SO,,,
464,Fahrwangen,AG,,,
465,Brugg,AG,,,
466,Ganterschwil,SG,,,
467,Bubendorf,BL,,,
468,Graz,Etranger,,,
469,"L'Isle",VD,,,
470,Kulmbach,Etranger,,,
471,Caluire-et-Cuire,Etranger,,,
472,Londres,Etranger,,,
473,"Annonay (Ardèche)",Etranger,,,
474,Pforzheim,Etranger,,,
475,"Hottingen (auj. Zurich)",ZH,,,
476,Langenthal,BE,,,
477,Heidelberg,Etranger,,,
478,Courtelary,BE,,,
479,Wattwil,SG,,,
480,Einsiedeln,SZ,,,
481,Murten,BE,,,
482,Mels,SG,,,
483,Hinwil,ZH,,,
484,Kehl-Kork,Etranger,,,
485,"Oberägeri",ZG,,,
486,Binzhou,Etranger,,,
487,"Schönenberg",ZH,,,
488,Schwytz,SZ,,,
489,Alvaneu,GR,,,
490,Casablanca,Etranger,,,
491,Munich,Etranger,,,
492,"Třinec",Etranger,,,
493,"Mitlödi",GL,,,
494,Eriswil,BE,,,
495,Zernez,GR,,,
496,"Emmendingen, Breisgau, Baden",Etranger,,,
497,Lennep,Etranger,,,
498,"Münchenstein",BL,,,
499,Presinge,GE,,,
500,Kerzers,FR,,,
501,Langenbruck,BL,,,
502,Kriens,LU,,,
503,Thoune,ZH,,,
504,"Wollishofen (auj. comm. Zurich)",ZH,,,
505,"Galaţi",Etranger,,,
506,Grandvaux,VD,,,
507,Froideville,VD,,,
508,"Le Fuet",BE,,,
509,Schwanden,GL,,,
510,"Pfäfers",SG,,,
511,Mulhouse,Etranger,,,
512,Croy,VD,,,
513,"Goumoëns",VD,,,
514,Bursins,VD,,,
515,Ouchy,VD,,,
516,Montheron,VD,,,
517,"L'Abbaye",VD,,,
518,Amsterdam,Etranger,,,
519,Versailles,Etranger,,,
520,Jassy,Etranger,,,
521,Edimbourg,Etranger,,,
522,"Quakenbrück",Etranger,,,
523,Osterode,Etranger,,,
524,Rothenfluh,BL,,,
525,"Münster",Etranger,,,
526,Frenkendorf,BL,,,
527,Grandval,BE,,,
528,Lons-le-Saunier,Etranger,,,
529,Davos,GR,,,
530,Coinsins,VD,,,
531,Neuilly-sur-Seine,Etranger,,,
532,Copenhague,Etranger,,,
533,Yverdon-les-Bains,VD,,,
534,Stockholm,Etranger,,,
535,Spreitenbach,AG,,,
536,Onex,GE,,,
537,Neydens,Etranger,,,
538,"Corcelles-près-Payerne",VD,,,
539,Wallisellen,ZH,,,
540,"Frankfurt (Oder)",Etranger,,,
541,"Uerikon Stäfa",ZH,,,
542,Unterhallau,SH,,,
543,Herrenhof,TG,,,
544,Vandoeuvres,GE,,,
545,Tannay,VD,,,
546,Avully,GE,,,
547,Gingins,VD,,,
548,Enge,ZH,,,
549,Koppigen,BE,,,
550,Diessenhofen,TG,,,
551,"Le Grand-Saconnex",GE,,,
552,"Schwarzenegg, Unterlangenegg",BE,,,
553,"Törbel",VS,,,
554,"Münster",VS,,,
555,Chamoson,VS,,,
556,Bramois,VS,,,
557,Oron,VD,,,
558,Bolligen,BE,,,
559,Eptingen,BL,,,
560,Heiligenschwendi,BE,,,
561,Villars-Bozon,VD,,,
562,Thun,BE,,,
563,Porrentruy,JU,,,
564,Hasle,LU,,,
565,Wittenbach,SG,,,
566,Boudry,NE,,,
567,Luchsingen,GL,,,
568,Fontainemelon,NE,,,
569,Saint-Aubin-Sauges,NE,,,
570,Perroy,VD,,,
571,Versoix,GE,,,
572,Collonge-Bellerive,GE,,,
573,"Chéserex",VD,,,
574,Saint-Livres,VD,,,
575,"Ellikon an der Thur",ZH,,,
576,Udine,Etranger,,,
577,"Los Angeles",Etranger,,,
578,Filderstadt,Etranger,,,
579,Cortaillod,NE,,,
580,"Baumgartenhof, comm. Bernardvillé (Alsace)",Etranger,,,
581,Heidenheim,Etranger,,,
582,Wittenwil,TG,,,
583,Silvaplana,GR,,,
584,Islikon,TG,,,
585,Azmoos,SG,,,
586,Tavannes,BE,,,
587,"Düsseldorf",Etranger,,,
588,Tramelan,BE,,,
589,"Bützberg",BE,,,
590,Bochum,Etranger,,,
591,Wartau,SG,,,
592,Ittigen,BE,,,
593,Brittnau,AG,,,
594,Biasca,TI,,,
595,"Kloster Serneus",GR,,,
596,Andiast,GR,,,
597,Meikirch,BE,,,
598,Romanshorn,TG,,,
599,"Palazzuolo di Romagna",Etranger,,,
600,"Le Châble",VS,,,
601,"Lengnau bei Biel",BE,,,
602,Wagenhausen,TG,,,
603,Dessau,Etranger,,,
604,Wipkingen,ZH,,,
605,Uettligen,BE,,,
606,"Aesch (LU)",LU,,,
607,Bossonnens,FR,,,
608,"Eschenbach (LU)",LU,,,
609,Aurigeno,TI,,,
610,Weimar,Etranger,,,
611,Glarisegg,TG,,,
612,Krauchtal,BE,,,
613,Bernrain,TG,,,
614,Castelrotto,TI,,,
615,"Ambrì",TI,,,
616,Contra,TI,,,
617,Muralto,TI,,,
618,"Le Châtelard",VD,,,
619,Brenles,VD,,,
620,Sumiswald,BE,,,
621,Courroux,BE,,,
622,"Roggwil BE",BE,,,
623,"Dättlikon",ZH,,,
624,"Altstätten",SG,,,
625,Reckingen,VS,,,
626,"Borken, Westfalen",Etranger,,,
627,Chieti,Etranger,,,
628,Lanciano,Etranger,,,
629,Villach,Etranger,,,
630,"Eisenharz (comm. Argenbühl dans l'Allgäu)",Etranger,,,
631,"Stellenbosch (Cap)",Etranger,,,
632,Huttwil,BE,,,
633,Bremen,Etranger,,,
634,Gansingen,AG,,,
635,Pompaples,VD,,,
636,Vaduz,Etranger,,,
637,Derby,Etranger,,,
638,"Möhlin",AG,,,
639,Buhl,Etranger,,,
640,"Zell (Bade)",Etranger,,,
641,"Töss",ZH,,,
642,Lutzenberg,AR,,,
643,Morat,FR,,,
644,"St Huberts",Etranger,,,
645,Provence,VD,,,
646,"Saint-Pétersbourg",Etranger,,,
647,Colmar,Etranger,,,
648,Pregny,GE,,,
649,Bachs,ZH,,,
650,"Schwanden bei Schüpfen",BE,,,
651,"San Francisco",Etranger,,,
652,Lenzburg,AG,,,
653,"Töss (auj. comm. Winterthour)",ZH,,,
654,Mollis,GL,,,
655,Montricher,VD,,,
656,Allahabad,Etranger,,,
