id,name,birth_canton,lat,long,wikidata_uri
270,Hirzel,ZH,47.216944444444,8.6102777777778,https://www.wikidata.org/wiki/Q66338
271,Orpund,BE,47.13891,7.30775,https://www.wikidata.org/wiki/Q22449580
272,Gossau,SG,,,
273,Weinfelden,TG,,,
274,Saint-Mihiel,Etranger,,,
275,Barcelone,Etranger,,,
276,Nüremberg,Etranger,,,
277,Walenstadt,SG,47.12411,9.31194,https://www.wikidata.org/wiki/Q22441445
278,Brest,Etranger,,,
279,Annemasse,Etranger,,,
280,Sholapore,Etranger,,,
281,Nantes,Etranger,,,
282,Fully,VS,,,
283,"Grisolia Cipollina, Cosenza",Etranger,,,
284,Brigue,VS,,,
285,Karlsruhe,Etranger,,,
286,Suhl,Etranger,50.610555555556,10.693055555556,https://www.wikidata.org/wiki/Q14891
287,Arnstadt,Etranger,,,
288,Nankin,Etranger,,,
289,Atzelsdorf,Etranger,,,
290,Bremerhaven,Etranger,53.55,8.5833333333333,https://www.wikidata.org/wiki/Q2706
291,Marseille,Etranger,,,
292,Thun,BE,46.759,7.63,https://www.wikidata.org/wiki/Q68978
293,Athènes,Etranger,,,
294,Guggisberg,BE,46.76756,7.32946,https://www.wikidata.org/wiki/Q22652800
295,Polska Cerekiew,Etranger,50.23333333,18.13333333,https://www.wikidata.org/wiki/Q10567299
296,Arosa,GR,,,
297,Aurich,Etranger,,,
298,Altishofen,LU,47.19916,7.96964,https://www.wikidata.org/wiki/Q22397857
299,Moutier,BE,,,
300,Hasle bei Burgdorf,BE,,,
301,Wald,ZH,,,
302,Madrid,Etranger,,,
303,Hohenems,Etranger,,,
304,Wolfhalden,AR,,,
305,Schaffhausen,ZH,,,
306,Locarno,TI,,,
307,Stein,AG,,,
308,Trimbach,SO,47.36561,7.8868,https://www.wikidata.org/wiki/Q22525325
309,Stuttgart,Etranger,48.7775,9.18,https://www.wikidata.org/wiki/Q1022
310,Nordhausen,Etranger,,,
311,Saarbrücken,Etranger,49.233333333333,7,https://www.wikidata.org/wiki/Q1724
312,Saint-Imier,BE,,,
313,Dresde,Etranger,,,
314,Tobel,TG,,,
315,Köniz,BE,,,
316,Kloten,ZH,,,
317,Leon,Etranger,,,
318,"Prien, Bavière",Etranger,,,
319,Nepi,Etranger,42.24221,12.34355,https://www.wikidata.org/wiki/Q30028168
320,Orbe,VD,46.72504,6.53069,https://www.wikidata.org/wiki/Q22447721
