id,name,wikidata_uri
302,"Anglaise et Suisse",
303,"puis suisse (1888)",
304,"puis suisse (1894)",
305,Libanaise,
306,Roumaine,
307,"Israélienne et Américaine",
308,"Suisse (1980)",
309,"Américaine et Suisse",
310,"Suisse et Allemande?",
311,"Yougoslave et Suisse",
312,"Hollandaise et suisse",
313,"Suisse et américaine",
314,"puis Suisse (1916)",
315,"Suisse (et Italienne jusqu'en 2017)",
316,"Suisse et Colombienne",
317,"puis suisse (1934)",
318,"Suisse et Australienne",
319,"Suisse et Norvégienne",
320,"puis canadienne",
321,Suisse-canadien,
322,"puis allemande",
323,"puis suisse (1915)",
324,Espagne,
325,"Français et suisse",
326,"puis suisse (1937)",
327,Anglaise?,
328,"puis Allemande",
329,"Suisse et américaine (1968-1991)",
330,"Suisse (et Italienne; 2e génération née en Suisse)",
331,Canadien,
332,Hollandaise?,
333,"Suédoise?",
334,"puis Suisse (dès 1871)",
335,"Suisse (Yougoslave",
336,"puis Suisse?)",
337,"Allemande et Suisse?",
338,Iranienne,
339,Luxembourgeois,
340,Hollandais,
341,"Allemande et suisse (dès 1886)",
342,"puis suisse (1909)",
343,Croate?,
344,Polonais,
345,belge,
346,Quatarie,
347,"Autrichienne et suisse",
348,"Suisse et hongrois",
349,Taiwanaise,
350,"Américaine et irlandaise",
351,"Anglaise et australienne",
352,"canadienne et anglaise",
353,"Américaine et suisse",
354,"Américaine et anglaise",
355,"Suisse et anglaise",
356,"Sud-africaine et irlandaise",
357,Mexicaine,
358,"Suisse et italien",
359,"puis suisse??",
360,"Autrichienne et Allemande",
361,grecque,
362,"Suisse et Italienne (Suisse",
363,"puis Italienne?)",
364,Japonaise,
365,"Canadienne et anglaise",
366,"Italienne et Suisse (puis Suisse?)",
367,hollandaise?,
368,allemande?,
369,"puis suisse (1940)",
370,Lituanienne,
371,"puis suisse (1918)",
372,"puis suisse (1880)",
373,Polonaise?,
374,"Suisse et Russe",
375,"puis Polonaise",
376,"puis suisse (1875)",
377,"puis française",
378,"Néerlandaise",
379,"puis suisse (1868)",
380,"puis suisse (1907)",
381,"puis suisse (1906)",
382,"Russe et suisse (1897)",
383,"Hollandaise et suisse (1877)",
384,"Bulgare et suisse (1910)",
385,"Allemande et suisse (1887)",
386,"puis suisse (1895)",
387,"puis suisse (1873)",
388,"puis suisse (1939)",
389,"puis suisse (1919)",
390,"puis suisse (1936)",
391,"puis Suisse (1924)",
392,"puis suisse (1941)?",
393,"puis suisse (1932)",
394,"suisse (dès 1919)",
395,"Allemande et suisse (1921)",
396,"Française et suisse (1905)",
397,"puis suisse (1942)",
398,"puis suisse (1900)",
399,"puis suisse (1944)",
400,"puis suisse (1911)",
401,"puis suisse (1943)",
402,"puis américaine (1946) et suisse (1949)",
403,"puis américaine (1947)",
404,Serbe,
405,"puis suisse (1960)",
406,"Allemande et suisse (1949)",
407,"puis irlandais (1946)",
408,allemande,
409,"puis suisse (1914)",
410,"Hongroise et Suisse (1924)",
411,"puis suisse (1959)",
412,"puis suisse (1931)",
413,"puis suisse (1953)",
414,"Suisse et français (1932)",
415,"puis suisse (1949)",
416,"puis suisse (1954)",
417,Vietnamienne,
418,"Hongroise et suisse",
419,"Français et suisse (1964)",
420,chinoise,
421,"Polonaise et suisse",
422,"Norvégien",
423,"Israélien",
424,"puis suisse (1958)",
425,"Allemande et suisse (1934)",
426,"puis suisse (1956)",
427,"Suisse (1956)",
428,canadienne,
429,Bosnienne,
430,Indienne?,
431,"Yougoslave et suisse",
432,"puis suisse (1980)",
433,Japonaise?,
434,Lituanie,
435,"puis suisse (1961)",
436,"Allemande. puis suisse",
437,"puis suisse (1976)",
438,"Suisse (probablement naturalisé)",
439,"puis suisse (1973)",
440,Yougosalve,
441,"puis croate",
442,"puis anglaise (1963)",
443,Turc,
444,"puis suisse  (1964)",
445,Autralienne,
446,Yougoslave?,
447,"Iranienne et suisse",
448,"Libanaise et Anglaise et (puis?) Suisse",
449,"Allemande et Autrichienne",
450,"Tunisienne et suisse",
451,"Britannique et (puis?) Suisse",
452,Islandaise?,
453,"Ghanéenne",
454,espagnole,
455,"Suisse (dès ?)",
456,"Tchèque et Suisse",
457,"allemand puis suisse (1903)",
458,"Canadienne et Italienne",
459,Italienne???,
460,"Suisse et turque",
461,"suisse et française",
462,"Grècque",
463,"Italienne (dès 1947)",
464,"Grecque et Suisse",
465,"Britannique et canadienne",
466,Chine,
467,Irannienne,
468,Tchecoslovaque?,
469,"française",
470,marocaine,
471,Ukrainienne,
472,"Américaine et Grèque",
473,Ukraine?,
474,Espagnol,
475,"Américaine et italienne",
476,Chinoise?,
477,"Suisse? (Tchecoslovaquie?)",
478,"Allemande et Américaine (puis Américaine?)",
479,Kenyanne,
480,"américaine",
481,"Française et américaine (1999)",
482,"Australienne et suisse",
483,"Mexicaine et américaine",
484,"Brésilienne et allemande",
485,"Canadienne et américaine",
486,"Anglaise et américaine",
487,"française et américaine",
488,"Suisse et chinoise",
489,"Allemande et américaine",
490,"française et canadienne",
491,"Suisse et grecque",
492,"Belge et française",
493,"Espagnole et suisse",
494,"Suisse et chilienne",
495,anglaise,
496,"Suisse et Allemande (Allemande",
497,Neerlandaise?,
498,"puis Britannique",
499,"Israélienne et Américaine (Israélienne",
500,"puis Néerlandaise",
501,Britannique?,
