id,name,birth_canton,frequency
423,Feuerthalen,ZH,4.0
424,Affeltrangen,TG,1.0
425,Uhwiesen,ZH,2.0
426,Flaach,ZH,5.0
427,Hottingen-Zurich,ZH,1.0
428,Hirzel,ZH,3.0
429,Waltalingen,ZH,1.0
430,Hersfeld,Etranger,1.0
431,Wasterkingen,ZH,2.0
432,Braunwald,GL,1.0
433,Osterfingen,SH,2.0
434,Jussy,GE,10.0
435,Lanzenmoos (comm. Fischenthal),ZH,1.0
436,Vordemwald,AG,4.0
437,Langnau,BE,9.0
438,Wattenwil,ZH,5.0
439,Porrentruy,JU (BE historique),38.0
440,Altnau,TG,4.0
441,Arlesheim,BL,5.0
442,Copponex (Haute-Savoie),Etranger,1.0
443,Troinex,GE,1.0
444,Villars-Mendraz,VD,1.0
445,Bülach,ZH,13.0
446,Würzburg,Etranger,7.0
447,Unterstrass,ZH,5.0
448,Waldenburg (Saxe),Etranger,1.0
449,Schaffhausen? Siblingen?,SH,1.0
450,Saint-Julien-en-Genevois,Etranger,2.0
451,Chicago,Etranger,4.0
452,Oberhofen bei Kreuzlingen,TG,1.0
453,Gross-Strehlitz (Silésie),Etranger,1.0
454,Cannstatt (Wurtemberg),Etranger,2.0
455,Frick,AG,1.0
456,Altdorf,UR,30.0
457,Anet,BE,2.0
458,Feldbrunnen-Sankt Niklaus,SO,3.0
459,Herrliberg,ZH,4.0
460,Kyburg,ZH,2.0
461,Stampa,GR,3.0
462,Flawil,SG,15.0
463,Wolfwil,SO,3.0
464,Fahrwangen,AG,4.0
465,Brugg,AG,15.0
466,Ganterschwil,SG,3.0
467,Bubendorf,BL,3.0
468,Graz,Etranger,4.0
469,L'Isle,VD,3.0
470,Kulmbach,Etranger,1.0
471,Caluire-et-Cuire,Etranger,2.0
472,Londres,Etranger,26.0
473,Annonay (Ardèche),Etranger,1.0
474,Pforzheim,Etranger,4.0
475,Hottingen (auj. Zurich),ZH,2.0
476,Langenthal,BE,30.0
477,Heidelberg,Etranger,13.0
